Date,Time,Away,AwayGoals,Home,HomeGoals,Result,Attendance,length,Type
2018-03-01,8:30 PM,Tampa Bay Lightning,5.0,Dallas Stars,4.0,Overtime,17337.0,2:44,Regular Season
2018-03-01,9:00 PM,Nashville Predators,4.0,Edmonton Oilers,2.0,Full Time,18347.0,2:25,Regular Season
2018-03-01,7:30 PM,New Jersey Devils,2.0,Florida Panthers,3.0,Full Time,10846.0,2:31,Regular Season
2018-03-01,10:30 PM,Columbus Blue Jackets,2.0,Los Angeles Kings,5.0,Full Time,18230.0,2:25,Regular Season
2018-03-01,7:00 PM,Carolina Hurricanes,4.0,Philadelphia Flyers,1.0,Full Time,19245.0,2:21,Regular Season
2018-03-01,10:00 PM,Chicago Blackhawks,2.0,San Jose Sharks,7.0,Full Time,17086.0,2:26,Regular Season
2018-03-02,10:00 PM,Columbus Blue Jackets,2.0,Anaheim Ducks,4.0,Full Time,16447.0,2:37,Regular Season
2018-03-02,7:30 PM,New Jersey Devils,1.0,Carolina Hurricanes,3.0,Full Time,14337.0,2:26,Regular Season
2018-03-02,9:00 PM,New York Rangers,3.0,Calgary Flames,1.0,Full Time,19143.0,2:36,Regular Season
2018-03-02,9:00 PM,Minnesota Wild,1.0,Colorado Avalanche,7.0,Full Time,17325.0,2:31,Regular Season
2018-03-02,7:30 PM,Buffalo Sabres,1.0,Florida Panthers,4.0,Full Time,12759.0,2:31,Regular Season
2018-03-02,7:00 PM,Montreal Canadiens,6.0,New York Islanders,3.0,Full Time,10685.0,2:27,Regular Season
2018-03-02,10:00 PM,Nashville Predators,4.0,Vancouver Canucks,3.0,Overtime,18470.0,2:36,Regular Season
2018-03-02,10:00 PM,Ottawa Senators,5.0,Vegas Golden Knights,4.0,Full Time,18269.0,2:30,Regular Season
2018-03-02,8:00 PM,Detroit Red Wings,3.0,Winnipeg Jets,4.0,Full Time,15321.0,2:33,Regular Season
2018-03-03,8:00 PM,Ottawa Senators,1.0,Arizona Coyotes,2.0,Full Time,10955.0,2:23,Regular Season
2018-03-03,5:00 PM,Montreal Canadiens,1.0,Boston Bruins,2.0,Overtime,17565.0,2:41,Regular Season
2018-03-03,2:00 PM,St. Louis Blues,2.0,Dallas Stars,3.0,Overtime,18321.0,2:48,Regular Season
2018-03-03,10:30 PM,New York Rangers,3.0,Edmonton Oilers,2.0,Full Time,18347.0,2:29,Regular Season
2018-03-03,4:00 PM,Chicago Blackhawks,5.0,Los Angeles Kings,3.0,Full Time,18230.0,2:31,Regular Season
2018-03-03,5:00 PM,New York Islanders,2.0,Pittsburgh Penguins,3.0,Overtime,18661.0,2:31,Regular Season
