date,City,index_sum,games,index_sum_7d,games_7d
2022-01-02,Anaheim,-1,1,-1.0,1.0
2022-01-03,Anaheim,0,0,-1.0,1.0
2022-01-04,Anaheim,1,1,0.0,2.0
2022-01-05,Anaheim,0,0,0.0,2.0
2022-01-06,Anaheim,0,0,0.0,2.0
2022-01-07,Anaheim,0,0,0.0,2.0
2022-01-08,Anaheim,-1,1,-1.0,3.0
2022-01-09,Anaheim,1,1,1.0,3.0
2022-01-10,Anaheim,0,0,1.0,3.0
2022-01-11,Anaheim,-1,1,-1.0,3.0
2022-01-12,Anaheim,0,0,-1.0,3.0
2022-01-13,Anaheim,0,0,-1.0,3.0
2022-01-14,Anaheim,-1,1,-2.0,4.0
2022-01-15,Anaheim,-1,1,-2.0,4.0
2022-01-16,Anaheim,0,0,-3.0,3.0
2022-01-17,Anaheim,0,0,-3.0,3.0
2022-01-18,Anaheim,0,0,-2.0,2.0
2022-01-19,Anaheim,-1,1,-3.0,3.0
2022-01-20,Anaheim,0,0,-3.0,3.0
2022-01-21,Anaheim,1,1,-1.0,3.0
2022-01-22,Anaheim,0,0,0.0,2.0
2022-01-23,Anaheim,0,0,0.0,2.0
2022-01-24,Anaheim,1,1,1.0,3.0
2022-01-25,Anaheim,0,0,1.0,3.0
2022-01-26,Anaheim,-1,1,1.0,3.0
2022-01-27,Anaheim,1,1,2.0,4.0
2022-01-28,Anaheim,0,0,1.0,3.0
2022-01-29,Anaheim,1,1,2.0,4.0
2022-01-30,Anaheim,0,0,2.0,4.0
2022-01-31,Anaheim,-1,1,0.0,4.0
2022-02-01,Anaheim,0,0,0.0,4.0
2022-02-02,Anaheim,0,0,1.0,3.0
2022-02-03,Anaheim,0,0,0.0,2.0
2022-02-04,Anaheim,0,0,0.0,2.0
2022-02-05,Anaheim,0,0,-1.0,1.0
2022-02-06,Anaheim,0,0,-1.0,1.0
2022-02-07,Anaheim,0,0,0.0,0.0
2022-02-08,Anaheim,0,0,0.0,0.0
2022-02-09,Anaheim,0,0,0.0,0.0
2022-02-10,Anaheim,0,0,0.0,0.0
2022-02-11,Anaheim,-1,1,-1.0,1.0
2022-02-12,Anaheim,0,0,-1.0,1.0
2022-02-13,Anaheim,0,0,-1.0,1.0
2022-02-14,Anaheim,0,0,-1.0,1.0
2022-02-15,Anaheim,0,0,-1.0,1.0
2022-02-16,Anaheim,-1,1,-2.0,2.0
2022-02-17,Anaheim,-1,1,-3.0,3.0
2022-02-18,Anaheim,0,0,-2.0,2.0
2022-02-19,Anaheim,1,1,-1.0,3.0
2022-02-20,Anaheim,0,0,-1.0,3.0
2022-02-21,Anaheim,0,0,-1.0,3.0
2022-02-22,Anaheim,1,1,0.0,4.0
