city_id,week_start,index_score_sum,weighted_score_sum,games
anaheim,2018-02-27,2,2,2
anaheim,2018-03-06,-2,-2,4
anaheim,2018-03-13,3,3,3
anaheim,2018-03-20,1,1,3
anaheim,2018-03-27,1,1,3
anaheim,2018-04-03,3,3,3
anaheim,2018-04-10,-3,-9,3
anaheim,2018-04-17,-1,-3,1
anaheim,2018-10-02,3,3,3
anaheim,2018-10-09,-1,-1,3
anaheim,2018-10-16,-1,-1,3
anaheim,2018-10-23,-3,-3,3
anaheim,2018-10-30,-1,-1,3
anaheim,2018-11-06,0,0,4
anaheim,2018-11-13,-3,-3,3
anaheim,2018-11-20,1,1,3
anaheim,2018-11-27,4,4,4
anaheim,2018-12-04,1,1,3
anaheim,2018-12-11,3,3,3
anaheim,2018-12-18,-3,-3,3
anaheim,2018-12-25,-3,-3,3
anaheim,2019-01-01,-2,-2,2
anaheim,2019-01-08,-3,-3,3
anaheim,2019-01-15,0,0,4
anaheim,2019-01-22,-1,-1,1
anaheim,2019-01-29,-2,-2,2
anaheim,2019-02-05,-3,-3,3
anaheim,2019-02-12,1,1,3
anaheim,2019-02-19,-2,-2,4
anaheim,2019-02-26,-1,-1,3
anaheim,2019-03-05,0,0,4
anaheim,2019-03-12,2,2,4
anaheim,2019-03-19,-1,-1,3
anaheim,2019-03-26,1,1,3
anaheim,2019-04-02,2,2,2
anaheim,2019-10-01,2,2,2
anaheim,2019-10-08,0,0,4
anaheim,2019-10-15,1,1,3
anaheim,2019-10-22,-2,-2,4
anaheim,2019-10-29,1,1,3
anaheim,2019-11-05,-2,-2,2
anaheim,2019-11-12,-2,-2,4
anaheim,2019-11-19,-1,-1,3
anaheim,2019-11-26,-1,-1,3
anaheim,2019-12-03,-2,-2,2
anaheim,2019-12-10,1,1,3
anaheim,2019-12-17,-2,-2,4
anaheim,2019-12-24,0,0,2
anaheim,2019-12-31,-1,-1,3
anaheim,2020-01-07,-4,-4,4
anaheim,2020-01-14,2,2,2
anaheim,2020-01-21,-1,-1,1
anaheim,2020-01-28,1,1,3
anaheim,2020-02-04,0,0,4
anaheim,2020-02-11,-1,-1,3
anaheim,2020-02-18,-3,-3,3
anaheim,2020-02-25,1,1,3
anaheim,2020-03-03,0,0,4
anaheim,2020-03-10,0,0,2
anaheim,2021-01-12,-1,-1,3
anaheim,2021-01-19,-1,-1,3
anaheim,2021-01-26,-2,-2,4
anaheim,2021-02-02,1,1,3
anaheim,2021-02-09,-1,-1,3
anaheim,2021-02-16,-3,-3,3
anaheim,2021-02-23,-3,-3,3
anaheim,2021-03-02,0,0,4
anaheim,2021-03-09,-3,-3,3
anaheim,2021-03-16,-2,-2,4
anaheim,2021-03-23,0,0,4
anaheim,2021-03-30,-2,-2,2
anaheim,2021-04-06,0,0,4
anaheim,2021-04-13,-1,-1,3
anaheim,2021-04-20,-3,-3,3
anaheim,2021-04-27,0,0,4
anaheim,2021-05-04,-1,-1,3
anaheim,2021-10-12,1,1,3
anaheim,2021-10-19,-3,-3,3
anaheim,2021-10-26,-2,-2,4
anaheim,2021-11-02,3,3,3
anaheim,2021-11-09,3,3,3
anaheim,2021-11-16,-1,-1,3
anaheim,2021-11-23,-1,-1,3
anaheim,2021-11-30,0,0,4
anaheim,2021-12-07,2,2,4
anaheim,2021-12-14,0,0,2
anaheim,2021-12-28,-3,-3,3
anaheim,2022-01-04,1,1,3
anaheim,2022-01-11,-3,-3,3
anaheim,2022-01-18,1,1,3
anaheim,2022-01-25,0,0,4
anaheim,2022-02-08,-1,-1,1
anaheim,2022-02-15,-1,-1,3
anaheim,2022-02-22,-1,-1,3
anaheim,2022-03-01,1,1,3
anaheim,2022-03-08,-4,-4,4
anaheim,2022-03-15,-3,-3,3
anaheim,2022-03-22,-2,-2,2
anaheim,2022-03-29,-2,-2,4
anaheim,2022-04-05,-1,-1,3
anaheim,2022-04-12,-1,-1,3
anaheim,2022-04-19,-3,-3,3
anaheim,2022-04-26,0,0,2
anaheim,2022-10-11,-1,-1,3
anaheim,2022-10-18,-3,-3,3
anaheim,2022-10-25,-1,-1,3
anaheim,2022-11-01,0,0,4
anaheim,2022-11-08,-2,-2,2
anaheim,2022-11-15,-2,-2,4
anaheim,2022-11-22,-1,-1,3
anaheim,2022-11-29,-4,-4,4
anaheim,2022-12-06,-1,-1,3
anaheim,2022-12-13,1,1,3
anaheim,2022-12-20,-3,-3,3
anaheim,2022-12-27,-1,-1,3
anaheim,2023-01-03,1,1,3
anaheim,2023-01-10,-3,-3,3
anaheim,2023-01-17,-1,-1,3
anaheim,2023-01-24,3,3,3
anaheim,2023-01-31,-1,-1,1
anaheim,2023-02-07,-1,-1,3
anaheim,2023-02-14,-3,-3,3
anaheim,2023-02-21,2,2,4
anaheim,2023-02-28,0,0,2
anaheim,2023-03-07,-2,-2,4
anaheim,2023-03-14,-1,-1,3
anaheim,2023-03-21,-4,-4,4
anaheim,2023-03-28,-3,-3,3
anaheim,2023-04-04,-3,-3,3
anaheim,2023-04-11,-2,-2,2
anaheim,2023-10-10,0,0,2
anaheim,2023-10-17,-3,-3,3
anaheim,2023-10-24,4,4,4
anaheim,2023-10-31,2,2,2
anaheim,2023-11-07,-1,-1,3
anaheim,2023-11-14,-2,-2,4
anaheim,2023-11-21,-3,-3,3
anaheim,2023-11-28,-1,-1,3
anaheim,2023-12-05,-3,-3,3
anaheim,2023-12-12,0,0,4
anaheim,2023-12-19,-2,-2,2
anaheim,2023-12-26,-1,-1,3
anaheim,2024-01-02,-3,-3,3
anaheim,2024-01-09,0,0,4
anaheim,2024-01-16,-3,-3,3
anaheim,2024-01-23,1,1,3
anaheim,2024-01-30,1,1,1
anaheim,2024-02-06,-1,-1,1
anaheim,2024-02-13,0,0,4
anaheim,2024-02-20,-3,-3,3
anaheim,2024-02-27,1,1,3
anaheim,2024-03-05,-1,-1,3
anaheim,2024-03-12,-4,-4,4
anaheim,2024-03-19,-1,-1,3
anaheim,2024-03-26,-4,-4,4
anaheim,2024-04-02,-1,-1,3
anaheim,2024-04-09,-1,-1,3
anaheim,2024-04-16,1,1,1
anaheim,2024-10-08,0,0,2
anaheim,2024-10-15,-1,-1,3
anaheim,2024-10-22,-1,-1,3
anaheim,2024-10-29,-1,-1,3
anaheim,2024-11-05,-1,-1,3
anaheim,2024-11-12,1,1,3
anaheim,2024-11-19,-1,-1,3
anaheim,2024-11-26,1,1,3
anaheim,2024-12-03,-3,-3,3
anaheim,2024-12-10,-1,-1,3
anaheim,2024-12-17,0,0,4
anaheim,2024-12-24,0,0,2
anaheim,2024-12-31,2,2,4
anaheim,2025-01-07,-2,-2,4
anaheim,2025-01-14,-3,-3,3
anaheim,2025-01-21,1,1,3
anaheim,2025-01-28,1,1,3
anaheim,2025-02-04,2,2,2
anaheim,2025-02-18,0,0,2
anaheim,2025-02-25,-1,-1,3
anaheim,2025-03-04,0,0,4
anaheim,2025-03-11,-2,-2,4
anaheim,2025-03-18,-1,-1,3
anaheim,2025-03-25,1,1,3
anaheim,2025-04-01,0,0,4
anaheim,2025-04-08,-1,-1,3
anaheim,2025-04-15,-2,-2,2
anaheim-ca,2020-07-21,-2,-2,4
anaheim-ca,2020-07-28,-2,-2,6
anaheim-ca,2020-08-04,-1,-1,7
anaheim-ca,2020-08-11,-2,-2,6
anaheim-ca,2020-08-18,-5,-5,7
anaheim-ca,2020-08-25,-1,-1,5
anaheim-ca,2020-09-01,3,3,5
anaheim-ca,2020-09-08,0,0,6
anaheim-ca,2020-09-15,1,1,7
anaheim-ca,2020-09-22,-1,-1,5
anaheim-ca,2021-03-30,3,3,5
anaheim-ca,2021-04-06,1,1,5
anaheim-ca,2021-04-13,-2,-2,4
anaheim-ca,2021-04-20,-1,-1,7
anaheim-ca,2021-04-27,-2,-2,6
anaheim-ca,2021-05-04,-1,-1,7
anaheim-ca,2021-05-11,-2,-2,6
anaheim-ca,2021-05-18,-2,-2,6
anaheim-ca,2021-05-25,1,1,7
anaheim-ca,2021-06-01,2,2,6
anaheim-ca,2021-06-08,4,4,6
anaheim-ca,2021-06-15,0,0,6
anaheim-ca,2021-06-22,-2,-2,6
anaheim-ca,2021-06-29,2,2,6
anaheim-ca,2021-07-06,1,1,5
anaheim-ca,2021-07-13,-2,-2,4
anaheim-ca,2021-07-20,2,2,6
anaheim-ca,2021-07-27,-3,-3,7
anaheim-ca,2021-08-03,2,2,6
anaheim-ca,2021-08-10,-1,-1,7
anaheim-ca,2021-08-17,0,0,6
anaheim-ca,2021-08-24,0,0,6
anaheim-ca,2021-08-31,0,0,6
anaheim-ca,2021-09-07,-1,-1,5
anaheim-ca,2021-09-14,-3,-3,7
anaheim-ca,2021-09-21,-2,-2,6
anaheim-ca,2021-09-28,0,0,6
anaheim-ca,2022-04-05,-1,-1,5
anaheim-ca,2022-04-12,2,2,6
anaheim-ca,2022-04-19,2,2,6
anaheim-ca,2022-04-26,3,3,7
anaheim-ca,2022-05-03,3,3,7
anaheim-ca,2022-05-10,0,0,6
anaheim-ca,2022-05-17,-1,-1,5
anaheim-ca,2022-05-24,-4,-4,6
anaheim-ca,2022-05-31,-6,-6,6
anaheim-ca,2022-06-07,-2,-2,6
anaheim-ca,2022-06-14,-1,-1,7
anaheim-ca,2022-06-21,0,0,6
anaheim-ca,2022-06-28,-3,-3,5
anaheim-ca,2022-07-05,-4,-4,6
anaheim-ca,2022-07-12,-3,-3,5
anaheim-ca,2022-07-19,-2,-2,4
anaheim-ca,2022-07-26,0,0,6
anaheim-ca,2022-08-02,-1,-1,7
anaheim-ca,2022-08-09,2,2,6
anaheim-ca,2022-08-16,-4,-4,6
anaheim-ca,2022-08-23,1,1,7
