date,city_id,city_name,score,wins,losses,playoff_wins,playoff_losses
2010-10-26,boston,Boston,0,0,0,0,0
2010-10-26,houston,Houston,0,0,0,0,0
2010-10-26,phoenix,Phoenix,0,0,0,0,0
2010-10-27,atlanta,Atlanta,0,0,0,0,0
2010-10-27,boston,Boston,0,0,0,0,0
2010-10-27,charlotte,Charlotte,0,0,0,0,0
2010-10-27,chicago,Chicago,0,0,0,0,0
2010-10-27,denver,Denver,0,0,0,0,0
2010-10-27,detroit,Detroit,0,0,0,0,0
2010-10-27,golden-state,Golden State,0,0,0,0,0
2010-10-27,indiana,Indiana,0,0,0,0,0
2010-10-27,los-angeles,Los Angeles,0,0,0,0,0
2010-10-27,miami,Miami,0,0,0,0,0
2010-10-27,milwaukee,Milwaukee,0,0,0,0,0
2010-10-27,minnesota,Minnesota,0,0,0,0,0
2010-10-27,new-york,New York,0,0,0,0,0
2010-10-28,orlando,Orlando,0,0,0,0,0
2010-10-28,phoenix,Phoenix,0,0,0,0,0
2010-10-29,atlanta,Atlanta,0,0,0,0,0
2010-10-29,boston,Boston,0,0,0,0,0
2010-10-29,charlotte,Charlotte,0,0,0,0,0
2010-10-29,cleveland,Cleveland,0,0,0,0,0
2010-10-29,dallas,Dallas,0,0,0,0,0
2010-10-29,denver,Denver,0,0,0,0,0
2010-10-29,detroit,Detroit,0,0,0,0,0
2010-10-29,golden-state,Golden State,0,0,0,0,0
2010-10-29,los-angeles,Los Angeles,0,0,0,0,0
2010-10-29,miami,Miami,0,0,0,0,0
2010-10-29,milwaukee,Milwaukee,0,0,0,0,0
2010-10-30,atlanta,Atlanta,0,0,0,0,0
2010-10-30,charlotte,Charlotte,0,0,0,0,0
2010-10-30,chicago,Chicago,0,0,0,0,0
2010-10-30,cleveland,Cleveland,0,0,0,0,0
2010-10-30,denver,Denver,0,0,0,0,0
2010-10-30,indiana,Indiana,0,0,0,0,0
2010-10-30,memphis,Memphis,0,0,0,0,0
2010-10-30,new-york,New York,0,0,0,0,0
2010-10-31,dallas,Dallas,0,0,0,0,0
2010-10-31,golden-state,Golden State,0,0,0,0,0
2010-10-31,miami,Miami,0,0,0,0,0
2010-10-31,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-01,chicago,Chicago,0,0,0,0,0
2010-11-01,los-angeles,Los Angeles,0,0,0,0,0
2010-11-01,sacramento,Sacramento,0,0,0,0,0
2010-11-02,atlanta,Atlanta,0,0,0,0,0
2010-11-02,boston,Boston,0,0,0,0,0
2010-11-02,los-angeles,Los Angeles,0,0,0,0,0
2010-11-02,miami,Miami,0,0,0,0,0
2010-11-02,milwaukee,Milwaukee,0,0,0,0,0
2010-11-02,philadelphia,Philadelphia,0,0,0,0,0
2010-11-03,atlanta,Atlanta,0,0,0,0,0
2010-11-03,boston,Boston,0,0,0,0,0
2010-11-03,charlotte,Charlotte,0,0,0,0,0
2010-11-03,dallas,Dallas,0,0,0,0,0
2010-11-03,golden-state,Golden State,0,0,0,0,0
2010-11-03,houston,Houston,0,0,0,0,0
2010-11-03,indiana,Indiana,0,0,0,0,0
2010-11-03,los-angeles,Los Angeles,0,0,0,0,0
2010-11-03,minnesota,Minnesota,0,0,0,0,0
2010-11-03,phoenix,Phoenix,0,0,0,0,0
2010-11-03,toronto,Toronto,0,0,0,0,0
2010-11-04,chicago,Chicago,0,0,0,0,0
2010-11-04,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-05,atlanta,Atlanta,0,0,0,0,0
2010-11-05,boston,Boston,0,0,0,0,0
2010-11-05,charlotte,Charlotte,0,0,0,0,0
2010-11-05,cleveland,Cleveland,0,0,0,0,0
2010-11-05,denver,Denver,0,0,0,0,0
2010-11-05,golden-state,Golden State,0,0,0,0,0
2010-11-05,indiana,Indiana,0,0,0,0,0
2010-11-05,los-angeles,Los Angeles,0,0,0,0,0
2010-11-05,memphis,Memphis,0,0,0,0,0
2010-11-05,miami,Miami,0,0,0,0,0
2010-11-05,new-york,New York,0,0,0,0,0
2010-11-06,charlotte,Charlotte,0,0,0,0,0
2010-11-06,cleveland,Cleveland,0,0,0,0,0
2010-11-06,dallas,Dallas,0,0,0,0,0
2010-11-06,houston,Houston,0,0,0,0,0
2010-11-06,los-angeles,Los Angeles,0,0,0,0,0
2010-11-06,memphis,Memphis,0,0,0,0,0
2010-11-06,miami,Miami,0,0,0,0,0
2010-11-06,milwaukee,Milwaukee,0,0,0,0,0
2010-11-06,portland,Portland,0,0,0,0,0
2010-11-07,atlanta,Atlanta,0,0,0,0,0
2010-11-07,boston,Boston,0,0,0,0,0
2010-11-07,detroit,Detroit,0,0,0,0,0
2010-11-07,houston,Houston,0,0,0,0,0
2010-11-07,los-angeles,Los Angeles,0,0,0,0,0
2010-11-07,new-york,New York,0,0,0,0,0
2010-11-08,atlanta,Atlanta,0,0,0,0,0
2010-11-08,boston,Boston,0,0,0,0,0
2010-11-08,charlotte,Charlotte,0,0,0,0,0
2010-11-08,chicago,Chicago,0,0,0,0,0
2010-11-08,golden-state,Golden State,0,0,0,0,0
2010-11-08,memphis,Memphis,0,0,0,0,0
2010-11-09,cleveland,Cleveland,0,0,0,0,0
2010-11-09,denver,Denver,0,0,0,0,0
2010-11-09,detroit,Detroit,0,0,0,0,0
2010-11-09,los-angeles,Los Angeles,0,0,0,0,0
2010-11-09,miami,Miami,0,0,0,0,0
2010-11-09,milwaukee,Milwaukee,0,0,0,0,0
2010-11-10,atlanta,Atlanta,0,0,0,0,0
2010-11-10,charlotte,Charlotte,0,0,0,0,0
2010-11-10,cleveland,Cleveland,0,0,0,0,0
2010-11-10,dallas,Dallas,0,0,0,0,0
2010-11-10,golden-state,Golden State,0,0,0,0,0
2010-11-10,houston,Houston,0,0,0,0,0
2010-11-10,los-angeles,Los Angeles,0,0,0,0,0
2010-11-10,minnesota,Minnesota,0,0,0,0,0
2010-11-10,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-10,orlando,Orlando,0,0,0,0,0
2010-11-11,boston,Boston,0,0,0,0,0
2010-11-11,chicago,Chicago,0,0,0,0,0
2010-11-11,denver,Denver,0,0,0,0,0
2010-11-12,atlanta,Atlanta,0,0,0,0,0
2010-11-12,charlotte,Charlotte,0,0,0,0,0
2010-11-12,dallas,Dallas,0,0,0,0,0
2010-11-12,detroit,Detroit,0,0,0,0,0
2010-11-12,houston,Houston,0,0,0,0,0
2010-11-12,minnesota,Minnesota,0,0,0,0,0
2010-11-12,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-12,orlando,Orlando,0,0,0,0,0
2010-11-12,phoenix,Phoenix,0,0,0,0,0
2010-11-13,boston,Boston,0,0,0,0,0
2010-11-13,charlotte,Charlotte,0,0,0,0,0
2010-11-13,chicago,Chicago,0,0,0,0,0
2010-11-13,cleveland,Cleveland,0,0,0,0,0
2010-11-13,golden-state,Golden State,0,0,0,0,0
2010-11-13,miami,Miami,0,0,0,0,0
2010-11-13,philadelphia,Philadelphia,0,0,0,0,0
2010-11-14,atlanta,Atlanta,0,0,0,0,0
2010-11-14,detroit,Detroit,0,0,0,0,0
2010-11-14,houston,Houston,0,0,0,0,0
2010-11-14,los-angeles,Los Angeles,0,0,0,0,0
2010-11-14,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-15,charlotte,Charlotte,0,0,0,0,0
2010-11-15,dallas,Dallas,0,0,0,0,0
2010-11-15,denver,Denver,0,0,0,0,0
2010-11-15,detroit,Detroit,0,0,0,0,0
2010-11-15,los-angeles,Los Angeles,0,0,0,0,0
2010-11-15,memphis,Memphis,0,0,0,0,0
2010-11-15,oklahoma-city,Oklahoma City,0,0,0,0,0
2010-11-16,atlanta,Atlanta,0,0,0,0,0
2010-11-16,chicago,Chicago,0,0,0,0,0
2010-11-16,cleveland,Cleveland,0,0,0,0,0
2010-11-16,denver,Denver,0,0,0,0,0
2010-11-16,los-angeles,Los Angeles,0,0,0,0,0
2010-11-16,memphis,Memphis,0,0,0,0,0
