date,team,index_score,month,league
2020-07-23,LAN,1,2020-07-01,mlb
2020-07-23,NYA,1,2020-07-01,mlb
2020-07-23,SFN,-1,2020-07-01,mlb
2020-07-23,WAS,-1,2020-07-01,mlb
2020-07-24,ANA,-1,2020-07-01,mlb
2020-07-24,ARI,-1,2020-07-01,mlb
2020-07-24,ATL,-1,2020-07-01,mlb
2020-07-24,BAL,-1,2020-07-01,mlb
2020-07-24,BOS,1,2020-07-01,mlb
2020-07-24,CHA,-1,2020-07-01,mlb
2020-07-24,CHN,1,2020-07-01,mlb
2020-07-24,CIN,1,2020-07-01,mlb
2020-07-24,CLE,1,2020-07-01,mlb
2020-07-24,COL,-1,2020-07-01,mlb
2020-07-24,DET,-1,2020-07-01,mlb
2020-07-24,HOU,1,2020-07-01,mlb
2020-07-24,KCA,-1,2020-07-01,mlb
2020-07-24,LAN,1,2020-07-01,mlb
2020-07-24,MIA,1,2020-07-01,mlb
2020-07-24,MIL,-1,2020-07-01,mlb
2020-07-24,MIN,1,2020-07-01,mlb
2020-07-24,NYN,1,2020-07-01,mlb
2020-07-24,OAK,1,2020-07-01,mlb
2020-07-24,PHI,-1,2020-07-01,mlb
2020-07-24,PIT,-1,2020-07-01,mlb
2020-07-24,SDN,1,2020-07-01,mlb
2020-07-24,SEA,-1,2020-07-01,mlb
2020-07-24,SFN,-1,2020-07-01,mlb
2020-07-24,SLN,1,2020-07-01,mlb
2020-07-24,TBA,-1,2020-07-01,mlb
2020-07-24,TEX,1,2020-07-01,mlb
2020-07-24,TOR,1,2020-07-01,mlb
2020-07-25,ANA,1,2020-07-01,mlb
2020-07-25,ARI,-1,2020-07-01,mlb
2020-07-25,ATL,1,2020-07-01,mlb
2020-07-25,BAL,1,2020-07-01,mlb
2020-07-25,BOS,-1,2020-07-01,mlb
2020-07-25,CHA,1,2020-07-01,mlb
2020-07-25,CHN,-1,2020-07-01,mlb
2020-07-25,CIN,-1,2020-07-01,mlb
2020-07-25,CLE,-1,2020-07-01,mlb
2020-07-25,COL,1,2020-07-01,mlb
2020-07-25,DET,1,2020-07-01,mlb
2020-07-25,HOU,1,2020-07-01,mlb
2020-07-25,KCA,1,2020-07-01,mlb
2020-07-25,LAN,-1,2020-07-01,mlb
2020-07-25,MIA,-1,2020-07-01,mlb
2020-07-25,MIL,1,2020-07-01,mlb
2020-07-25,MIN,-1,2020-07-01,mlb
2020-07-25,NYA,-1,2020-07-01,mlb
2020-07-25,NYN,-1,2020-07-01,mlb
2020-07-25,OAK,-1,2020-07-01,mlb
2020-07-25,PHI,1,2020-07-01,mlb
2020-07-25,PIT,-1,2020-07-01,mlb
2020-07-25,SDN,1,2020-07-01,mlb
2020-07-25,SEA,-1,2020-07-01,mlb
2020-07-25,SFN,1,2020-07-01,mlb
2020-07-25,SLN,1,2020-07-01,mlb
2020-07-25,TBA,1,2020-07-01,mlb
2020-07-25,TEX,-1,2020-07-01,mlb
2020-07-25,TOR,-1,2020-07-01,mlb
2020-07-25,WAS,1,2020-07-01,mlb
2020-07-26,ANA,-1,2020-07-01,mlb
2020-07-26,ARI,1,2020-07-01,mlb
2020-07-26,ATL,1,2020-07-01,mlb
2020-07-26,BAL,1,2020-07-01,mlb
2020-07-26,BOS,-1,2020-07-01,mlb
2020-07-26,CHA,-1,2020-07-01,mlb
2020-07-26,CHN,1,2020-07-01,mlb
2020-07-26,CIN,-1,2020-07-01,mlb
2020-07-26,CLE,1,2020-07-01,mlb
2020-07-26,COL,1,2020-07-01,mlb
2020-07-26,DET,1,2020-07-01,mlb
2020-07-26,HOU,-1,2020-07-01,mlb
2020-07-26,KCA,-1,2020-07-01,mlb
2020-07-26,LAN,-1,2020-07-01,mlb
2020-07-26,MIA,1,2020-07-01,mlb
2020-07-26,MIL,-1,2020-07-01,mlb
2020-07-26,MIN,1,2020-07-01,mlb
2020-07-26,NYA,1,2020-07-01,mlb
2020-07-26,NYN,-1,2020-07-01,mlb
2020-07-26,OAK,1,2020-07-01,mlb
2020-07-26,PHI,-1,2020-07-01,mlb
2020-07-26,PIT,1,2020-07-01,mlb
2020-07-26,SDN,-1,2020-07-01,mlb
2020-07-26,SEA,1,2020-07-01,mlb
2020-07-26,SFN,1,2020-07-01,mlb
2020-07-26,SLN,-1,2020-07-01,mlb
2020-07-26,TBA,1,2020-07-01,mlb
2020-07-26,TEX,-1,2020-07-01,mlb
2020-07-26,TOR,-1,2020-07-01,mlb
2020-07-26,WAS,-1,2020-07-01,mlb
2020-07-27,ANA,-1,2020-07-01,mlb
2020-07-27,ARI,-1,2020-07-01,mlb
2020-07-27,ATL,-1,2020-07-01,mlb
2020-07-27,BOS,-1,2020-07-01,mlb
2020-07-27,CHN,1,2020-07-01,mlb
2020-07-27,CIN,-1,2020-07-01,mlb
2020-07-27,DET,-1,2020-07-01,mlb
2020-07-27,HOU,1,2020-07-01,mlb
2020-07-27,KCA,1,2020-07-01,mlb
2020-07-27,MIL,1,2020-07-01,mlb
2020-07-27,NYN,1,2020-07-01,mlb
2020-07-27,OAK,1,2020-07-01,mlb
2020-07-27,PIT,-1,2020-07-01,mlb
2020-07-27,SDN,1,2020-07-01,mlb
2020-07-27,SEA,-1,2020-07-01,mlb
2020-07-27,TBA,1,2020-07-01,mlb
2020-07-27,TOR,1,2020-07-01,mlb
2020-07-27,WAS,-1,2020-07-01,mlb
2020-07-28,ANA,1,2020-07-01,mlb
2020-07-28,ARI,1,2020-07-01,mlb
2020-07-28,ATL,-1,2020-07-01,mlb
2020-07-28,BOS,-1,2020-07-01,mlb
2020-07-28,CHA,-1,2020-07-01,mlb
