date,team,index_score,month,league
2010-10-26,BOS,1,2010-10-01,nba
2010-10-26,HOU,-1,2010-10-01,nba
2010-10-26,LAL,1,2010-10-01,nba
2010-10-26,MIA,-1,2010-10-01,nba
2010-10-26,PHX,-1,2010-10-01,nba
2010-10-26,POR,1,2010-10-01,nba
2010-10-27,ATL,1,2010-10-01,nba
2010-10-27,BOS,-1,2010-10-01,nba
2010-10-27,CHA,-1,2010-10-01,nba
2010-10-27,CHI,-1,2010-10-01,nba
2010-10-27,CLE,1,2010-10-01,nba
2010-10-27,DAL,1,2010-10-01,nba
2010-10-27,DEN,1,2010-10-01,nba
2010-10-27,DET,-1,2010-10-01,nba
2010-10-27,GSW,1,2010-10-01,nba
2010-10-27,HOU,-1,2010-10-01,nba
2010-10-27,IND,-1,2010-10-01,nba
2010-10-27,LAC,-1,2010-10-01,nba
2010-10-27,MEM,-1,2010-10-01,nba
2010-10-27,MIA,1,2010-10-01,nba
2010-10-27,MIL,-1,2010-10-01,nba
2010-10-27,MIN,-1,2010-10-01,nba
2010-10-27,NJN,1,2010-10-01,nba
2010-10-27,NOH,1,2010-10-01,nba
2010-10-27,NYK,1,2010-10-01,nba
2010-10-27,OKC,1,2010-10-01,nba
2010-10-27,PHI,-1,2010-10-01,nba
2010-10-27,POR,1,2010-10-01,nba
2010-10-27,SAC,1,2010-10-01,nba
2010-10-27,SAS,1,2010-10-01,nba
2010-10-27,TOR,-1,2010-10-01,nba
2010-10-27,UTA,-1,2010-10-01,nba
2010-10-28,ORL,1,2010-10-01,nba
2010-10-28,PHX,1,2010-10-01,nba
2010-10-28,UTA,-1,2010-10-01,nba
2010-10-28,WAS,-1,2010-10-01,nba
2010-10-29,ATL,1,2010-10-01,nba
2010-10-29,BOS,1,2010-10-01,nba
2010-10-29,CHA,-1,2010-10-01,nba
2010-10-29,CLE,-1,2010-10-01,nba
2010-10-29,DAL,-1,2010-10-01,nba
2010-10-29,DEN,-1,2010-10-01,nba
2010-10-29,DET,-1,2010-10-01,nba
2010-10-29,GSW,1,2010-10-01,nba
2010-10-29,IND,1,2010-10-01,nba
2010-10-29,LAC,-1,2010-10-01,nba
2010-10-29,LAL,1,2010-10-01,nba
2010-10-29,MEM,1,2010-10-01,nba
2010-10-29,MIA,1,2010-10-01,nba
2010-10-29,MIL,-1,2010-10-01,nba
2010-10-29,MIN,1,2010-10-01,nba
2010-10-29,NJN,1,2010-10-01,nba
2010-10-29,NOH,1,2010-10-01,nba
2010-10-29,NYK,-1,2010-10-01,nba
2010-10-29,OKC,1,2010-10-01,nba
2010-10-29,ORL,-1,2010-10-01,nba
2010-10-29,PHI,-1,2010-10-01,nba
2010-10-29,PHX,-1,2010-10-01,nba
2010-10-29,SAC,-1,2010-10-01,nba
2010-10-29,TOR,1,2010-10-01,nba
2010-10-30,ATL,1,2010-10-01,nba
2010-10-30,CHA,-1,2010-10-01,nba
2010-10-30,CHI,1,2010-10-01,nba
2010-10-30,CLE,-1,2010-10-01,nba
2010-10-30,DEN,1,2010-10-01,nba
2010-10-30,DET,-1,2010-10-01,nba
2010-10-30,HOU,-1,2010-10-01,nba
2010-10-30,IND,1,2010-10-01,nba
2010-10-30,MEM,1,2010-10-01,nba
2010-10-30,MIL,1,2010-10-01,nba
2010-10-30,MIN,-1,2010-10-01,nba
2010-10-30,NOH,1,2010-10-01,nba
2010-10-30,NYK,-1,2010-10-01,nba
2010-10-30,PHI,-1,2010-10-01,nba
2010-10-30,POR,1,2010-10-01,nba
2010-10-30,SAC,1,2010-10-01,nba
2010-10-30,SAS,-1,2010-10-01,nba
2010-10-30,WAS,-1,2010-10-01,nba
2010-10-31,DAL,1,2010-10-01,nba
2010-10-31,GSW,-1,2010-10-01,nba
2010-10-31,LAC,-1,2010-10-01,nba
2010-10-31,LAL,1,2010-10-01,nba
2010-10-31,MIA,1,2010-10-01,nba
2010-10-31,NJN,-1,2010-10-01,nba
2010-10-31,OKC,-1,2010-10-01,nba
2010-10-31,UTA,1,2010-10-01,nba
2010-11-01,CHI,1,2010-11-01,nba
2010-11-01,LAC,-1,2010-11-01,nba
2010-11-01,POR,-1,2010-11-01,nba
2010-11-01,SAC,1,2010-11-01,nba
2010-11-01,SAS,1,2010-11-01,nba
2010-11-01,TOR,-1,2010-11-01,nba
2010-11-02,ATL,1,2010-11-01,nba
2010-11-02,BOS,1,2010-11-01,nba
2010-11-02,CLE,-1,2010-11-01,nba
2010-11-02,DET,-1,2010-11-01,nba
2010-11-02,LAL,1,2010-11-01,nba
2010-11-02,MEM,-1,2010-11-01,nba
2010-11-02,MIA,1,2010-11-01,nba
2010-11-02,MIL,-1,2010-11-01,nba
2010-11-02,MIN,-1,2010-11-01,nba
2010-11-02,PHI,-1,2010-11-01,nba
2010-11-02,POR,1,2010-11-01,nba
2010-11-02,WAS,1,2010-11-01,nba
2010-11-03,ATL,1,2010-11-01,nba
2010-11-03,BOS,1,2010-11-01,nba
2010-11-03,CHA,1,2010-11-01,nba
2010-11-03,DAL,1,2010-11-01,nba
2010-11-03,DEN,-1,2010-11-01,nba
2010-11-03,DET,-1,2010-11-01,nba
2010-11-03,GSW,1,2010-11-01,nba
2010-11-03,HOU,-1,2010-11-01,nba
2010-11-03,IND,-1,2010-11-01,nba
2010-11-03,LAC,1,2010-11-01,nba
2010-11-03,LAL,1,2010-11-01,nba
2010-11-03,MEM,-1,2010-11-01,nba
2010-11-03,MIL,-1,2010-11-01,nba
2010-11-03,MIN,-1,2010-11-01,nba
2010-11-03,NJN,-1,2010-11-01,nba
2010-11-03,NOH,1,2010-11-01,nba
2010-11-03,OKC,-1,2010-11-01,nba
2010-11-03,ORL,1,2010-11-01,nba
2010-11-03,PHI,1,2010-11-01,nba
2010-11-03,PHX,-1,2010-11-01,nba
2010-11-03,SAC,-1,2010-11-01,nba
2010-11-03,SAS,1,2010-11-01,nba
2010-11-03,TOR,-1,2010-11-01,nba
2010-11-03,UTA,1,2010-11-01,nba
2010-11-04,CHI,-1,2010-11-01,nba
2010-11-04,NYK,1,2010-11-01,nba
2010-11-04,OKC,1,2010-11-01,nba
2010-11-04,POR,-1,2010-11-01,nba
2010-11-05,ATL,1,2010-11-01,nba
2010-11-05,BOS,1,2010-11-01,nba
2010-11-05,CHA,-1,2010-11-01,nba
2010-11-05,CHI,-1,2010-11-01,nba
2010-11-05,CLE,1,2010-11-01,nba
2010-11-05,DEN,1,2010-11-01,nba
2010-11-05,DET,1,2010-11-01,nba
2010-11-05,GSW,1,2010-11-01,nba
2010-11-05,IND,-1,2010-11-01,nba
2010-11-05,LAC,-1,2010-11-01,nba
2010-11-05,LAL,1,2010-11-01,nba
2010-11-05,MEM,-1,2010-11-01,nba
2010-11-05,MIA,-1,2010-11-01,nba
2010-11-05,MIL,1,2010-11-01,nba
2010-11-05,MIN,-1,2010-11-01,nba
2010-11-05,NJN,-1,2010-11-01,nba
2010-11-05,NOH,1,2010-11-01,nba
2010-11-05,NYK,1,2010-11-01,nba
2010-11-05,ORL,1,2010-11-01,nba
2010-11-05,PHI,-1,2010-11-01,nba
2010-11-05,PHX,1,2010-11-01,nba
2010-11-05,TOR,-1,2010-11-01,nba
2010-11-05,UTA,-1,2010-11-01,nba
2010-11-05,WAS,-1,2010-11-01,nba
2010-11-06,CHA,-1,2010-11-01,nba
2010-11-06,CLE,1,2010-11-01,nba
2010-11-06,DAL,-1,2010-11-01,nba
2010-11-06,DEN,1,2010-11-01,nba
2010-11-06,HOU,-1,2010-11-01,nba
2010-11-06,LAC,-1,2010-11-01,nba
2010-11-06,MEM,1,2010-11-01,nba
2010-11-06,MIA,1,2010-11-01,nba
2010-11-06,MIL,-1,2010-11-01,nba
2010-11-06,NJN,-1,2010-11-01,nba
2010-11-06,NOH,1,2010-11-01,nba
2010-11-06,ORL,1,2010-11-01,nba
2010-11-06,POR,1,2010-11-01,nba
2010-11-06,SAC,-1,2010-11-01,nba
2010-11-06,SAS,1,2010-11-01,nba
2010-11-06,TOR,-1,2010-11-01,nba
2010-11-06,UTA,1,2010-11-01,nba
2010-11-06,WAS,-1,2010-11-01,nba
2010-11-07,ATL,-1,2010-11-01,nba
2010-11-07,BOS,1,2010-11-01,nba
2010-11-07,DET,1,2010-11-01,nba
2010-11-07,GSW,-1,2010-11-01,nba
2010-11-07,HOU,1,2010-11-01,nba
2010-11-07,LAL,1,2010-11-01,nba
2010-11-07,MIN,-1,2010-11-01,nba
2010-11-07,NYK,-1,2010-11-01,nba
2010-11-07,OKC,-1,2010-11-01,nba
2010-11-07,PHI,1,2010-11-01,nba
2010-11-07,PHX,1,2010-11-01,nba
2010-11-07,POR,-1,2010-11-01,nba
2010-11-08,ATL,-1,2010-11-01,nba
2010-11-08,BOS,-1,2010-11-01,nba
2010-11-08,CHA,-1,2010-11-01,nba
2010-11-08,CHI,1,2010-11-01,nba
2010-11-08,DAL,1,2010-11-01,nba
2010-11-08,DEN,-1,2010-11-01,nba
2010-11-08,GSW,1,2010-11-01,nba
2010-11-08,MEM,1,2010-11-01,nba
2010-11-08,ORL,1,2010-11-01,nba
2010-11-08,PHX,-1,2010-11-01,nba
2010-11-08,SAS,1,2010-11-01,nba
2010-11-08,TOR,-1,2010-11-01,nba
2010-11-09,CLE,1,2010-11-01,nba
2010-11-09,DEN,-1,2010-11-01,nba
2010-11-09,DET,-1,2010-11-01,nba
2010-11-09,IND,1,2010-11-01,nba
2010-11-09,LAC,-1,2010-11-01,nba
2010-11-09,LAL,1,2010-11-01,nba
2010-11-09,MIA,-1,2010-11-01,nba
2010-11-09,MIL,1,2010-11-01,nba
2010-11-09,MIN,-1,2010-11-01,nba
2010-11-09,NJN,-1,2010-11-01,nba
2010-11-09,NOH,1,2010-11-01,nba
