date,team,index_score,month,league
2018-03-01,Carolina Hurricanes,1,2018-03-01,nhl
2018-03-01,Chicago Blackhawks,-1,2018-03-01,nhl
2018-03-01,Columbus Blue Jackets,-1,2018-03-01,nhl
2018-03-01,Dallas Stars,-1,2018-03-01,nhl
2018-03-01,Edmonton Oilers,-1,2018-03-01,nhl
2018-03-01,Florida Panthers,1,2018-03-01,nhl
2018-03-01,Los Angeles Kings,1,2018-03-01,nhl
2018-03-01,Nashville Predators,1,2018-03-01,nhl
2018-03-01,New Jersey Devils,-1,2018-03-01,nhl
2018-03-01,Philadelphia Flyers,-1,2018-03-01,nhl
2018-03-01,San Jose Sharks,1,2018-03-01,nhl
2018-03-01,Tampa Bay Lightning,1,2018-03-01,nhl
2018-03-02,Anaheim Ducks,1,2018-03-01,nhl
2018-03-02,Buffalo Sabres,-1,2018-03-01,nhl
2018-03-02,Calgary Flames,-1,2018-03-01,nhl
2018-03-02,Carolina Hurricanes,1,2018-03-01,nhl
2018-03-02,Colorado Avalanche,1,2018-03-01,nhl
2018-03-02,Columbus Blue Jackets,-1,2018-03-01,nhl
2018-03-02,Detroit Red Wings,-1,2018-03-01,nhl
2018-03-02,Florida Panthers,1,2018-03-01,nhl
2018-03-02,Minnesota Wild,-1,2018-03-01,nhl
2018-03-02,Montreal Canadiens,1,2018-03-01,nhl
2018-03-02,Nashville Predators,1,2018-03-01,nhl
2018-03-02,New Jersey Devils,-1,2018-03-01,nhl
2018-03-02,New York Islanders,-1,2018-03-01,nhl
2018-03-02,New York Rangers,1,2018-03-01,nhl
2018-03-02,Ottawa Senators,1,2018-03-01,nhl
2018-03-02,Vancouver Canucks,-1,2018-03-01,nhl
2018-03-02,Vegas Golden Knights,-1,2018-03-01,nhl
2018-03-02,Winnipeg Jets,1,2018-03-01,nhl
2018-03-03,Arizona Coyotes,1,2018-03-01,nhl
2018-03-03,Boston Bruins,1,2018-03-01,nhl
2018-03-03,Chicago Blackhawks,1,2018-03-01,nhl
2018-03-03,Dallas Stars,1,2018-03-01,nhl
2018-03-03,Edmonton Oilers,-1,2018-03-01,nhl
2018-03-03,Los Angeles Kings,-1,2018-03-01,nhl
2018-03-03,Montreal Canadiens,-1,2018-03-01,nhl
2018-03-03,New York Islanders,-1,2018-03-01,nhl
2018-03-03,New York Rangers,1,2018-03-01,nhl
2018-03-03,Ottawa Senators,-1,2018-03-01,nhl
2018-03-03,Philadelphia Flyers,-1,2018-03-01,nhl
2018-03-03,Pittsburgh Penguins,1,2018-03-01,nhl
2018-03-03,St. Louis Blues,-1,2018-03-01,nhl
2018-03-03,Tampa Bay Lightning,1,2018-03-01,nhl
2018-03-03,Toronto Maple Leafs,-1,2018-03-01,nhl
2018-03-03,Washington Capitals,1,2018-03-01,nhl
2018-03-04,Anaheim Ducks,1,2018-03-01,nhl
2018-03-04,Carolina Hurricanes,-1,2018-03-01,nhl
2018-03-04,Chicago Blackhawks,-1,2018-03-01,nhl
2018-03-04,Colorado Avalanche,-1,2018-03-01,nhl
2018-03-04,Columbus Blue Jackets,1,2018-03-01,nhl
2018-03-04,Detroit Red Wings,-1,2018-03-01,nhl
2018-03-04,Florida Panthers,1,2018-03-01,nhl
2018-03-04,Minnesota Wild,1,2018-03-01,nhl
2018-03-04,Nashville Predators,1,2018-03-01,nhl
2018-03-04,New Jersey Devils,-1,2018-03-01,nhl
2018-03-04,Philadelphia Flyers,-1,2018-03-01,nhl
2018-03-04,San Jose Sharks,-1,2018-03-01,nhl
2018-03-04,Vegas Golden Knights,1,2018-03-01,nhl
2018-03-04,Winnipeg Jets,1,2018-03-01,nhl
2018-03-05,Arizona Coyotes,-1,2018-03-01,nhl
2018-03-05,Buffalo Sabres,1,2018-03-01,nhl
