league,team_id,month_start,index_score_sum,weighted_score_sum,games
mlb,mlb_ANA,2020-07-01,-4,-4,8
mlb,mlb_ANA,2020-08-01,-9,-9,27
mlb,mlb_ANA,2020-09-01,3,3,23
mlb,mlb_ANA,2021-04-01,0,0,24
mlb,mlb_ANA,2021-05-01,-5,-5,29
mlb,mlb_ANA,2021-06-01,4,4,26
mlb,mlb_ANA,2021-07-01,2,2,24
mlb,mlb_ANA,2021-08-01,0,0,28
mlb,mlb_ANA,2021-09-01,-8,-8,26
mlb,mlb_ANA,2021-10-01,1,1,3
mlb,mlb_ANA,2022-04-01,6,6,22
mlb,mlb_ANA,2022-05-01,-3,-3,27
mlb,mlb_ANA,2022-06-01,-8,-8,26
mlb,mlb_ANA,2022-07-01,-12,-12,24
mlb,mlb_ANA,2022-08-01,-2,-2,28
mlb,mlb_ANA,2022-09-01,2,2,26
mlb,mlb_ANA,2022-10-01,-1,-1,5
mlb,mlb_ANA,2023-03-01,-1,-1,1
mlb,mlb_ANA,2023-04-01,2,2,28
mlb,mlb_ANA,2023-05-01,2,2,28
mlb,mlb_ANA,2023-06-01,1,1,27
mlb,mlb_ANA,2023-07-01,0,0,22
mlb,mlb_ANA,2023-08-01,-9,-9,25
mlb,mlb_ANA,2023-09-01,-11,-11,27
mlb,mlb_ANA,2023-10-01,1,1,1
mlb,mlb_ANA,2024-03-01,-1,-1,3
mlb,mlb_ANA,2024-04-01,-7,-7,27
mlb,mlb_ANA,2024-05-01,-7,-7,27
mlb,mlb_ANA,2024-06-01,4,4,26
mlb,mlb_ANA,2024-07-01,-3,-3,25
mlb,mlb_ANA,2024-08-01,-11,-11,27
mlb,mlb_ANA,2024-09-01,-12,-12,26
mlb,mlb_ARI,2020-07-01,-2,-2,8
mlb,mlb_ARI,2020-08-01,-5,-5,27
mlb,mlb_ARI,2020-09-01,-4,-4,24
mlb,mlb_ARI,2021-04-01,1,1,25
mlb,mlb_ARI,2021-05-01,-19,-19,29
mlb,mlb_ARI,2021-06-01,-21,-21,27
mlb,mlb_ARI,2021-07-01,-1,-1,23
mlb,mlb_ARI,2021-08-01,-7,-7,29
mlb,mlb_ARI,2021-09-01,-13,-13,25
mlb,mlb_ARI,2021-10-01,1,1,3
mlb,mlb_ARI,2022-04-01,-1,-1,21
mlb,mlb_ARI,2022-05-01,2,2,28
mlb,mlb_ARI,2022-06-01,-7,-7,25
mlb,mlb_ARI,2022-07-01,-3,-3,25
mlb,mlb_ARI,2022-08-01,4,4,28
mlb,mlb_ARI,2022-09-01,-7,-7,27
mlb,mlb_ARI,2022-10-01,-1,-1,5
